V	%
0	0.0
0.004	0.000108013707459
0.008	0.000696288945872
0.012	0.00254448161604
0.016	0.00706872795261
0.02	0.0160726397096
0.024	0.0320263911534
0.028	0.0578347461762
0.032	0.097661307866
0.036	0.15540922038
0.04	0.231262364678
0.044	0.335478034977
0.048	0.468189542389
0.052	0.637453491238
0.056	0.851508987127
0.06	1.10370280036
0.064	1.4054315247
0.068	1.76476534466
0.072	2.17689831824
0.076	2.67052531383
0.08	3.22312053441
0.084	3.86793428192
0.088	4.59571277471
0.092	5.40222371015
0.096	6.28169146124
0.1	7.25334142088
0.104	8.42878644352
0.108	9.63665281681
0.112	10.8661011155
0.116	12.2869103502
0.12	13.7825353727
0.124	15.3393086138
0.128	16.9514755774
0.132	18.7571599164
0.136	20.5711202274
0.14	22.5699616799
0.144	24.6421798687
0.148	26.7190806053
0.152	28.6801562896
0.156	31.090852712
0.16	33.570611709
0.164	35.9082917282
0.168	38.2028028365
0.172	40.9059332578
0.176	43.4540417892
0.18	45.9848749309
0.184	48.5883693453
0.188	51.6346552743
0.192	54.3615272674
0.196	56.827259645
0.2	59.7584386934
0.204	62.458330821
0.208	63.9492798523
0.212	67.2041923431
0.216	69.7314294238
0.22	72.5805951458
0.224	75.0391355437
0.228	77.3437190867
0.232	80.8034415738
0.236	82.1496283007
0.24	83.4172501654
0.244	85.8025458874
0.248	87.8093287069
0.252	89.3483520532
0.256	90.1160588541
0.26	92.1228416735
0.264	93.7689864185
0.268	94.2474696481
0.272	94.1617644047
0.276	94.8009343646
0.28	95.9400136868
0.284	96.4756406347
0.288	96.968404627
0.292	97.6825560737
0.296	97.7504028807
0.3	98.0575062689
0.304	98.4288474322
0.308	98.5145526756
0.312	98.6395432008
0.316	98.3395851827
0.32	98.5716857036
0.324	99.0037489716
0.328	99.1822941383
0.332	99.4072500017
0.336	98.896627573
0.34	98.9144760319
0.344	98.9394805511
0.348	99.1394525632
0.352	99.1073126515
0.356	99.1715810719
0.36	98.8609206778
0.364	99.3037069897
0.368	99.1037349776
0.372	99.2287148126
