V	%
0.004	0.0
0.008	4.83914809265e-05
0.012	0.000804513549495
0.016	0.00343177859646
0.02	0.00953316788239
0.024	0.020423323183
0.028	0.0392396376515
0.032	0.0680246466965
0.036	0.111173926533
0.04	0.17202654276
0.044	0.256054701552
0.048	0.364865505359
0.052	0.507895933247
0.056	0.687157176064
0.06	0.905863418006
0.064	1.17419307752
0.068	1.49418646015
0.072	1.87918587131
0.076	2.33083603081
0.08	2.85352818345
0.084	3.46089709812
0.088	4.13362667871
0.092	4.93700745606
0.096	5.83005872885
0.1	6.80683364516
0.104	7.90023835834
0.108	9.10194409371
0.112	10.4617216349
0.116	11.9227191666
0.12	13.504511338
0.124	15.2256336677
0.128	16.9163514572
0.132	18.8942682342
0.136	21.0140172382
0.14	23.2056170141
0.144	25.5063457631
0.148	28.0867834398
0.152	30.6805483151
0.156	33.3522035039
0.16	36.3735376905
0.164	39.2867897761
0.168	42.5844986895
0.172	45.8397206676
0.176	49.5090356782
0.18	52.8309743791
0.184	56.4097269023
0.188	60.2473951064
0.192	63.8491161364
0.196	67.6972174576
0.2	71.7750084009
0.204	76.0156397648
0.208	80.2228728167
0.212	84.1357069911
0.216	88.1362272076
0.22	92.2474156349
0.224	96.536069311
0.228	100.0
V	%
0.004	0.0
0.008	7.42528409339e-05
0.012	0.000990769276846
0.016	0.00348997642638
0.02	0.0090081771515
0.024	0.0193677957929
0.028	0.0369577193004
0.032	0.0644617368321
0.036	0.105925657302
0.04	0.163322570873
0.044	0.243261133322
0.048	0.352776514123
0.052	0.479512597593
0.056	0.651609803753
0.06	0.857486521166
0.064	1.10620315587
0.068	1.4131785887
0.072	1.76989281295
0.076	2.1881072119
0.08	2.68639475191
0.084	3.25967441098
0.088	3.91436208982
0.092	4.65129151153
0.096	5.52164577469
0.1	6.47204893748
0.104	7.56905688355
0.108	8.732245439
0.112	10.0023730928
0.116	11.4188847213
0.12	12.997339331
0.124	14.7620633636
0.128	16.3615571604
0.132	18.0684278827
0.136	20.2032751533
0.14	22.3742818754
0.144	24.6086201281
0.148	26.9757523302
0.152	29.4568420218
0.156	32.2854835215
0.16	34.999072027
0.164	37.9659926226
0.168	41.1719925961
0.172	44.3641817357
0.176	47.370763791
0.18	50.9115212245
0.184	55.0857120129
0.188	58.2602949737
0.192	61.3250247215
0.196	65.2311956246
0.2	68.5046371116
0.204	72.5997310601
0.208	77.7317886351
0.212	80.6822838482
0.216	83.5712676218
0.22	87.2665274127
0.224	90.9617793628
0.228	94.1693241681
0.232	100.0
