V	%
0.004	0.0
0.008	0.000196907724584
0.012	0.00108759508847
0.016	0.00353631549559
0.02	0.00876537203408
0.024	0.0182270107003
0.028	0.0337630660155
0.032	0.057461299648
0.036	0.0921308276707
0.04	0.140182941782
0.044	0.205792485968
0.048	0.291148096075
0.052	0.396021259128
0.056	0.531185513916
0.06	0.693923969858
0.064	0.886459850762
0.068	1.11790191557
0.072	1.39321978229
0.076	1.71723454726
0.08	2.09262392721
0.084	2.53943498494
0.088	3.03298881619
0.092	3.58141524789
0.096	4.20719823081
0.1	4.90152130066
0.104	5.67171554781
0.108	6.52857576826
0.112	7.48339511656
0.116	8.52230372663
0.12	9.66531225651
0.124	10.9342117744
0.128	12.1628963949
0.132	13.5745224676
0.136	14.9980357737
0.14	16.4884026701
0.144	18.2675963763
0.148	20.5781767021
0.152	22.068859236
0.156	23.9880647038
0.16	25.9887915397
0.164	28.2920384578
0.168	30.5569760282
0.172	32.9034335919
0.176	35.2214128804
0.18	37.526620357
0.184	40.6774931139
0.188	44.0847263196
0.192	46.2877858132
0.196	49.1066825848
0.2	52.6288239982
0.204	55.2866381991
0.208	59.404977723
0.212	62.0726116058
0.216	65.7136051252
0.22	69.1601221642
0.224	72.4485087628
0.228	74.8067463705
0.232	78.0489731391
0.236	81.7233521234
0.24	84.7003877802
0.244	87.6066917194
0.248	91.0414287146
0.252	93.6884404995
0.256	95.4377339118
0.26	98.1692064297
0.264	100.0
V	%
0.016	0.0
0.02	5.0965244745e-06
0.024	1.48258894169e-05
0.028	1.94594064574e-05
0.032	2.54826422549e-05
0.036	2.779940244e-05
0.04	1.43625354202e-05
0.044	1.01927122799e-05
0.048	2.82627532022e-05
0.052	2.17758266438e-05
0.056	1.89957157916e-05
0.06	4.12352364307e-05
0.064	3.19695654838e-05
0.068	4.07718857636e-05
0.072	3.75294472846e-05
0.076	6.44024874662e-05
0.08	7.32048035888e-05
0.084	8.98851289315e-05
0.088	8.24714993265e-05
0.092	0.00010749078768
0.096	0.000122781057558
0.1	0.000153360910849
0.104	0.000176526796153
0.108	0.000202936139933
0.112	0.000228882142749
0.116	0.000245562121586
0.12	0.00029328461506
0.124	0.000327107622597
0.128	0.000354443648304
0.132	0.00040031309471
0.136	0.0004600824228
0.14	0.000535140624244
0.144	0.000586106264735
0.148	0.000641242026221
0.152	0.000720007746866
0.156	0.000817769859114
0.16	0.000902558112346
0.164	0.000997539704108
0.168	0.00107676844512
0.172	0.00119537936532
0.176	0.00132279429181
0.18	0.00144418567637
0.184	0.00158735280671
0.188	0.00172032760597
0.192	0.00187415137394
0.196	0.00204187546596
0.2	0.0022225722583
0.204	0.00240280580956
0.208	0.00262242238667
0.212	0.00281840868403
0.216	0.00306582486279
0.22	0.00331879964907
0.224	0.00356992255553
0.228	0.00385579485941
0.232	0.00415093334518
0.236	0.00448545421943
0.24	0.00482924105677
0.244	0.00521287542628
0.248	0.00556639253326
0.252	0.00598940843506
0.256	0.00642308065106
0.26	0.00686694699611
0.264	0.00740347854681
0.268	0.00791313611231
0.272	0.00851916519258
0.276	0.00908998333721
0.28	0.00975114864606
0.284	0.0104377971133
