V	%
0	0.0
0.004	0.00175282568306
0.008	0.00190748163689
0.012	0.00373850471938
0.016	0.00878583217605
0.02	0.0195647497969
0.024	0.0394449961855
0.028	0.0723262571375
0.032	0.122327248416
0.036	0.192947502544
0.04	0.291627485223
0.044	0.425933026168
0.048	0.597423712882
0.052	0.825480606966
0.056	1.09534317909
0.06	1.4203006956
0.064	1.82265816303
0.068	2.29216266945
0.072	2.83474757716
0.076	3.46206205469
0.08	4.13431605748
0.084	5.01176232948
0.088	5.99981131803
0.092	6.99549513337
0.096	8.18834414692
0.1	9.53437859078
0.104	10.9658188263
0.108	12.4118546348
0.112	14.0862840352
0.116	15.9247847677
0.12	17.8136020229
0.124	19.9470017969
0.128	22.1184626184
0.132	24.3826798727
0.136	26.7147168769
0.14	29.3390227617
0.144	31.6277414306
0.148	34.5119412895
0.152	37.0644898983
0.156	39.7294853444
0.16	42.5126170632
0.164	45.511884558
0.168	48.1943865256
0.172	51.4526680957
0.176	54.4436255301
0.18	57.1204380624
0.184	60.0619509844
0.188	62.6831945608
0.192	66.4870807478
0.196	69.386592062
0.2	71.4587366525
0.204	76.3857669434
0.208	77.6642331497
0.212	79.9227515196
0.216	84.3623765707
0.22	87.1848795627
0.224	88.8938704402
0.228	90.1548393142
0.232	93.518569881
0.236	94.7349005713
0.24	95.9976171067
0.244	97.5416160957
0.248	98.11059603
0.252	99.2398964791
0.256	100.0
