V	%
0	0.0
0.004	2.29006712457e-05
0.008	0.000631438321937
0.012	0.00319913195458
0.016	0.0103083424534
0.02	0.0252675584356
0.024	0.0520048703885
0.028	0.0971651504134
0.032	0.165233062917
0.036	0.267309708872
0.04	0.407645203372
0.044	0.585806513823
0.048	0.831795896179
0.052	1.14062925464
0.056	1.51952152912
0.06	1.96512393365
0.064	2.54138241893
0.068	3.18799261751
0.072	3.92517887471
0.076	4.77375258329
0.08	5.83268962481
0.084	6.94475550616
0.088	8.35294884147
0.092	9.8546689838
0.096	11.326545317
0.1	13.0949830091
0.104	14.9065848552
0.108	16.9987628431
0.112	19.0634899176
0.116	21.7192081712
0.12	24.4554004254
0.124	26.9989413075
0.128	30.0665935916
0.132	33.3271606127
0.136	36.6013103927
0.14	39.7283851339
0.144	43.0315762658
0.148	46.3065333107
0.152	49.9198772776
0.156	53.6251465713
0.16	57.703990499
0.164	61.6136564454
0.168	65.4396003654
0.172	69.5931907815
0.176	73.350442171
0.18	77.2028097494
0.184	81.2005188078
0.188	85.5311406029
0.192	89.6424473541
0.196	92.9320150469
0.2	96.1793376418
0.204	100.0
