V	%
0.012	0.0
0.016	0.00963011118729
0.02	0.010621384795
0.024	0.00778908519116
0.028	0.00325738563384
0.032	0.00679770667285
0.036	0.0106214876702
0.04	0.00793071126285
0.044	0.00410703314074
0.048	0.00793071126285
0.052	0.0106212798552
0.056	0.00821396139992
0.06	0.00892208774576
0.064	0.0035405328666
0.068	0.00793071126285
0.072	0.00467353545028
0.076	0.00396530215841
0.08	0.000708128352164
0.084	0.00523993282011
0.088	0.00892198484145
0.092	0.00892198484145
0.096	0.00467353545028
0.1	0.00453190934951
0.104	0.00580643309425
0.108	0.0107631157773
0.112	0.00226600915094
0.116	0.00240752830567
0.12	0.00934675613958
0.124	0.00538166380245
0.128	0.00835548256099
0.132	0.00566470208284
0.136	0.00311575956214
0.14	0.00906371381746
0.144	0.00764745909038
0.148	0.0127457658388
0.152	0.0100549873961
0.156	0.0123208886414
0.16	0.0164278168715
0.164	0.00892187993082
0.168	0.0100548824854
0.172	0.00665618751811
0.176	0.00906361091315
0.18	0.00778908519116
0.184	0.00821396139992
0.188	0.00339890478858
0.192	0.00764756403009
0.196	0.00793060635222
0.2	0.00849721153699
0.204	0.0113293033259
0.208	0.00807223038851
0.212	0.0121791596654
0.216	0.00793060635222
0.22	0.0137370394465
0.224	0.00948848511559
0.228	0.00977163034202
0.232	0.0152948143169
0.236	0.018127112903
0.24	0.013312058298
0.244	0.0133122681483
0.248	0.00934686105022
0.252	0.0104798636339
0.256	0.0148700430188
0.26	0.0140201856615
0.264	0.0120376385043
0.268	0.00977163034202
0.272	0.0144451657923
0.276	0.01331216222
0.28	0.0195432637081
0.284	0.0186936151835
0.288	0.0243583183131
0.292	0.0228005434427
0.296	0.0226589178653
0.3	0.0246415689445
0.304	0.0236500860389
0.308	0.0233670447054
0.312	0.026765845854
0.316	0.0294564149669
0.32	0.0308727739736
0.324	0.0278987446378
0.328	0.0315806916235
0.332	0.0378120016942
0.336	0.0356878289596
0.34	0.0341299496728
0.344	0.0368206231758
0.348	0.0365373725445
0.352	0.0423438051444
0.356	0.045600877035
0.36	0.0450344786765
0.364	0.0521153315935
0.368	0.05041593164
0.372	0.0542397126373
0.376	0.05650540505
0.38	0.0590544544005
0.384	0.0681180613009
0.388	0.0708087350075
0.392	0.073641244229
0.396	0.0754821653436
0.4	0.0842623123149
0.404	0.0920514035831
0.408	0.0971497083252
0.412	0.0982826039047
0.416	0.107770990129
0.42	0.116267885073
0.424	0.128163684544
0.428	0.136236124957
0.432	0.150114471702
0.436	0.156770562422
0.44	0.167816613372
0.444	0.176172184851
0.448	0.186935007908
0.452	0.203362599925
0.456	0.218232430098
0.46	0.239050224559
0.464	0.258876519598
0.468	0.275445862515
0.472	0.296971670589
0.476	0.314674006204
0.48	0.346254624884
0.484	0.363248720084
0.488	0.393413150449
0.492	0.422869564875
0.496	0.455016640505
0.5	0.481499155367
0.504	0.521860079489
0.508	0.565619837772
0.512	0.601590577479
0.516	0.647757877821
0.52	0.699306817511
0.524	0.753970989535
0.528	0.801696035437
0.532	0.860608803227
0.536	0.919663290514
0.54	0.987498018691
0.544	1.06170545152
0.548	1.13832055434
0.552	1.2189006889
0.556	1.30755305133
0.56	1.40682703692
0.564	1.50624241634
0.568	1.610756063
0.572	1.72943152302
0.576	1.84187561697
0.58	1.96437445321
0.584	2.09267995643
0.588	2.2418028322
0.592	2.39446642156
0.596	2.54755484664
0.6	2.71381363597
0.604	2.88290499501
0.608	3.07168073826
0.612	3.27164421793
0.616	3.4597118551
0.62	3.69083231047
0.624	3.91430394311
0.628	4.12927941356
0.632	4.4048669453
0.636	4.66246811855
0.64	4.92955919732
0.644	5.22270748417
0.648	5.52265257283
0.652	5.82868788669
0.656	6.13925407223
0.66	6.48876655735
0.664	6.842951433
0.668	7.20719133007
0.672	7.60697726486
0.676	7.99826552545
0.68	8.3906880305
0.684	8.83947319274
0.688	9.26035878471
0.692	9.72939603203
0.696	10.2101870796
0.7	10.6795063179
0.704	11.2009429672
0.708	11.699577546
0.712	12.2422554005
0.716	12.7944216484
0.72	13.4015337367
0.724	13.9920770394
0.728	14.5727094855
0.732	15.220610788
0.736	15.7951514388
0.74	16.4725065183
0.744	17.1963138638
0.748	17.935270648
0.752	18.610645394
0.756	19.3500287993
0.76	20.1017362675
0.764	20.8615116775
0.768	21.6387102202
0.772	22.4341727216
0.776	23.2260981237
0.78	24.0106580316
0.784	24.885004811
0.788	25.7113404653
0.792	26.572375632
0.796	27.5294268264
0.8	28.4462539225
0.804	29.3677584976
0.808	30.2666047889
0.812	31.1446332396
0.816	32.1178265112
0.82	33.095782051
0.824	34.2390515128
0.828	35.4071613588
0.832	36.3267446562
0.836	37.4583096618
0.84	38.6103412551
0.844	39.7082833908
0.848	40.8252292389
0.852	41.9334024877
0.856	43.0430426825
0.86	44.202384
0.864	45.1892176895
0.868	46.3017792734
0.872	47.5327590274
0.876	48.6511677508
0.88	49.8031993442
0.884	50.8777453614
0.888	51.9098999802
0.892	53.0970173187
0.896	54.0823922038
0.9	55.3937792138
0.904	56.4975681982
0.908	57.5384913455
0.912	58.73000109
0.916	59.7957788694
0.92	61.0925420696
0.924	62.2548132084
0.928	63.4784791675
0.932	64.8512694301
0.936	66.5413117214
0.94	68.180181873
0.944	70.1114491305
0.948	71.9681522008
0.952	74.1362520186
0.956	76.6523097075
0.96	79.2063663891
0.964	82.1376361214
0.968	85.3408078761
0.972	88.3232253231
0.976	92.2047676214
0.98	96.2295789418
0.984	100.0
