V	%
0.008	0.0
0.012	0.000509588302752
0.016	0.000477600509277
0.02	0.000565122343691
0.024	0.000518918170484
0.028	0.000474489243029
0.032	0.000362977218679
0.036	0.000360756632761
0.04	0.000347426303499
0.044	0.000342096111094
0.048	0.000587782628041
0.052	0.000493150550899
0.056	0.000403405771959
0.06	0.000677084338067
0.064	0.000827249669946
0.068	0.000495816476982
0.072	0.000398074007149
0.076	0.00038741108902
0.08	0.000497149440023
0.084	0.000901444407264
0.088	0.000524250808853
0.092	0.000663311027248
0.096	0.000536245816465
0.1	0.000501148329148
0.104	0.000852573521771
0.108	0.000510476624475
0.112	0.000812144182288
0.116	0.000586005111037
0.12	0.000581560881747
0.124	0.000547795483912
0.128	0.000693075177349
0.132	0.000897446304342
0.136	0.000813920126887
0.14	0.00100051905394
0.144	0.000900555211983
0.148	0.00107871189418
0.152	0.00119866843463
0.156	0.00133284065598
0.16	0.00143369212081
0.164	0.0014447995929
0.168	0.0020525750068
0.172	0.00185620314311
0.176	0.00184198676338
0.18	0.00134750167703
0.184	0.00140792450122
0.188	0.00164339195516
0.192	0.00199304120318
0.196	0.00242354913017
0.2	0.00269544790802
0.204	0.00305264872057
0.208	0.00310551849519
0.212	0.00337430976309
0.216	0.00308419274629
0.22	0.00365864661747
0.224	0.0038972268227
0.228	0.00430774126499
0.232	0.00475202171659
0.236	0.00507279365119
0.24	0.00596846007992
0.244	0.00632699700032
0.248	0.00677571862377
0.252	0.00734884110431
0.256	0.00775713487332
0.26	0.00839956479299
0.264	0.00885628410732
0.268	0.00971774372907
0.272	0.0105605436153
0.276	0.0113615795393
0.28	0.01223236833
0.284	0.013003194851
0.288	0.0139992736067
0.292	0.0148074196861
0.296	0.0162575534897
0.3	0.0175872806082
0.304	0.0186890988258
0.308	0.020192094542
0.312	0.0217359727126
0.316	0.0231701079023
0.32	0.0251253834209
0.324	0.026736350017
0.328	0.0286583032067
0.332	0.0308650462781
0.336	0.0329944810748
0.34	0.0356877076107
0.344	0.0384582455662
0.348	0.0413744961508
0.352	0.0440863809371
0.356	0.0472940815016
0.36	0.0516316001074
0.364	0.054915268209
0.368	0.0591910332988
0.372	0.0639070676339
0.376	0.0686497547656
0.38	0.0733773465429
0.384	0.0788037786347
0.388	0.0839485625981
0.392	0.091391142828
0.396	0.0981630991223
0.4	0.104475947968
0.404	0.112400123665
0.408	0.121238119387
0.412	0.129886280346
0.416	0.140256128306
0.42	0.149773977983
0.424	0.161949394661
0.428	0.17397470078
0.432	0.187470087189
0.436	0.202007283059
0.44	0.216376777519
0.444	0.231554076061
0.448	0.249013741204
0.452	0.267908168664
0.456	0.28585786523
0.46	0.307979340393
0.464	0.32743880389
0.468	0.355308067403
0.472	0.380259292332
0.476	0.409267466583
0.48	0.435494553523
0.484	0.470727264215
0.488	0.503960225472
0.492	0.542309647303
0.496	0.58233664929
0.5	0.623696916569
0.504	0.666708148421
0.508	0.71863686371
0.512	0.766755817055
0.516	0.822463456797
0.52	0.871138605765
0.524	0.940884711058
0.528	1.00919088606
0.532	1.07487522348
0.536	1.1523426432
0.54	1.23046929391
0.544	1.31325646701
0.548	1.40496852609
0.552	1.51145286263
0.556	1.61028748161
0.56	1.71646454393
0.564	1.81393600095
0.568	1.94926166904
0.572	2.06748519157
0.576	2.20364626995
0.58	2.34099452317
0.584	2.48665202196
0.588	2.6582498516
0.592	2.80421501773
0.596	2.98632046425
0.6	3.17761465512
0.604	3.36306076438
0.608	3.56908334514
0.612	3.7841190937
0.616	4.03032573616
0.62	4.26035364563
0.624	4.4839624195
0.628	4.73122415475
0.632	5.02513358638
0.636	5.30589766477
0.64	5.61730470194
0.644	5.9106428874
0.648	6.23818655204
0.652	6.56111220164
0.656	6.92114641893
0.66	7.29617278838
0.664	7.69872132857
0.668	8.05958976809
0.672	8.48121895047
0.676	8.87172134493
0.68	9.34773538446
0.684	9.88220857585
0.688	10.2168466805
0.692	10.7639952943
0.696	11.2141460596
0.7	11.7758434422
0.704	12.2903660406
0.708	12.7700578491
0.712	13.4322781511
0.716	14.0482070987
0.72	14.5711068619
0.724	15.2500807072
0.728	15.8699742131
0.732	16.4665047441
0.736	17.1516518532
0.74	17.8169587871
0.744	18.5946934095
0.748	19.323051618
0.752	20.067720825
0.756	20.848541293
0.76	21.6055553679
0.764	22.3727089245
0.768	23.2787404753
0.772	23.9189190598
0.776	24.7482402865
0.78	25.521567107
0.784	26.5170986656
0.788	27.2895499182
0.792	28.1519349879
0.796	29.0610555292
0.8	30.0601194966
0.804	30.9643904774
0.808	31.8929126674
0.812	32.7861623089
0.816	33.5405308116
0.82	34.6167467742
0.824	35.6859139052
0.828	36.4817265604
0.832	37.5720559102
0.836	38.4578087593
0.84	39.56092954
0.844	40.6098116799
0.848	41.7076283876
0.852	42.7763602244
0.856	43.8649227146
0.86	44.7974141801
0.864	45.722399244
0.868	46.7858365296
0.872	47.7619713313
0.876	49.0370370939
0.88	50.0334538294
0.884	51.0122390952
0.888	52.1373960027
0.892	53.2563813935
0.896	54.2960123732
0.9	55.4617363803
0.904	56.4630058211
0.908	57.3901964458
0.912	58.5731133088
0.916	59.6458048993
0.92	60.927480967
0.924	62.1280356767
0.928	63.7130443049
0.932	65.0313180221
0.936	66.0431638987
0.94	67.5488054492
0.944	69.5676602211
0.948	71.2210145878
0.952	73.1675574906
0.956	75.6352330349
0.96	78.0164928446
0.964	79.7703669859
0.968	82.9831662497
0.972	85.7532845477
0.976	88.4418433107
0.98	91.7639778656
0.984	94.4485701485
0.988	96.7222553245
0.992	98.3543169627
0.996	100.0
