V	uW
0.0	51.9530877
0.05	9.03502769
0.1	2.76041783
0.15	0.501572401
0.2	2.50951348
0.25	1.17529498
0.3	2.10052622
0.35	4.05101991
0.4	6.57665032
0.45	10.1025198
0.5	15.1037648
0.55	22.1431383
0.6	30.4143468
0.65	40.6272702
0.7	53.2938175
0.75	70.073278
0.8	88.0001098
0.85	108.824388
0.9	135.158698
0.95	162.690558
1.0	193.248168
1.05	227.156634
1.1	264.315895
1.15	305.851252
1.2	355.93877
1.25	405.451108
1.3	459.489587
1.35	517.078908
1.4	583.295478
1.45	646.9863
1.5	714.078022
1.55	781.744893
1.6	856.763625
1.65	925.480796
1.7	993.722817
1.75	1059.51412
1.8	1153.01565
1.85	1198.44358
1.9	1252.15389
1.95	1305.86431
2.0	1364.84532
2.05	1415.29297
2.1	1467.24633
2.15	1515.93704
2.2	1554.83955
2.25	1596.25162
2.3	1624.86371
2.35	1650.46391
2.4	1672.80156
2.45	1692.3782
2.5	1708.44106
2.55	1724.50393
2.6	1733.53928
2.65	1746.33949
2.7	1753.11614
2.75	1764.91227
2.8	1773.44563
2.85	1784.48902
2.9	1788.75565
2.95	1795.28131
3.0	1800.30079
3.05	1806.82645
3.1	1812.59902
3.15	1815.35969
3.2	1822.63844
3.25	1824.14427
3.3	1827.15617
3.35	1830.41871
3.4	1834.68556
3.45	1838.19921
3.5	1840.96023
3.55	1844.47377
3.6	1847.23455
3.65	1849.24249
3.7	1851.50153
3.75	1853.50922
3.8	1857.52509
3.85	1859.78378
3.9	1860.53687
3.95	1863.54865
4.0	1865.80746
4.05	1867.81539
4.1	1872.08201
4.15	1871.83102
4.2	1871.57991
4.25	1875.34478
4.3	1876.85073
4.35	1880.36438
4.4	1882.1212
4.45	1883.37639
4.5	1880.61537
4.55	1885.38409
4.6	1888.39587
4.65	1887.39202
4.7	1889.14896
4.75	1889.14896
4.8	1889.14896
4.85	1891.65864
4.9	1893.41558
4.95	1891.15666
5.0	1891.65864
5.05	1890.15281
5.1	1891.15666
5.15	1888.64686
5.2	1890.4038
5.25	1888.39587
5.3	1885.38409
5.35	1885.88607
5.4	1885.63508
5.45	1884.38024
5.5	1882.37231
5.55	1881.11735
5.6	1877.60359
5.65	1878.10557
5.7	1875.84665
5.75	1872.08201
5.8	1870.82717
5.85	1868.81924
5.9	1865.30536
5.95	1864.5525
6.0	1863.29766
6.05	1859.28179
6.1	1857.77585
6.15	1853.76022
6.2	1852.00328
6.25	1846.7328
6.3	1843.97202
6.35	1840.20714
6.4	1836.94437
6.45	1833.68148
6.5	1830.41871
6.55	1828.16002
6.6	1823.14019
6.65	1817.36762
6.7	1816.36377
6.75	1813.35199
6.8	1806.82645
6.85	1803.56356
6.9	1799.29694
6.95	1796.28516
7.0	1792.26953
