V	uW
0.0	20.5583638
0.05	3.09600728
0.1	1.36211747
0.15	1.48598338
0.2	1.11444388
0.25	0.0863728928
0.3	0.0123400241
0.35	0.0123400241
0.4	0.0123400241
0.45	0.0370200723
0.5	0.0740401447
0.55	0.00871204975
0.6	0.00871204975
0.65	0.00373529474
0.7	0.007467861
0.75	0.0124455255
0.8	0.0099562385
0.85	0.0119154038
0.9	0.0119154038
0.95	0.0114188765
1.0	0.012287785
1.05	0.0106741709
1.1	0.0114188765
1.15	0.0112885559
1.2	0.00994882043
1.25	0.0113629852
1.3	0.0103333733
1.35	0.0104326148
1.4	0.00993641436
1.45	0.00892816043
1.5	0.0104974989
1.55	0.0127565754
1.6	0.0247272816
1.65	0.0603874355
1.7	0.152655602
1.75	0.386203965
1.8	1.22119809
1.85	2.66047164
1.9	5.36115749
1.95	10.3142365
2.0	19.1278123
2.05	32.7718662
2.1	53.786076
2.15	84.3139569
2.2	118.333221
2.25	162.951881
2.3	209.285674
2.35	259.654422
2.4	313.947035
2.45	377.469376
2.5	436.376868
2.55	496.222172
2.6	565.235736
2.65	616.260571
2.7	665.675267
2.75	712.860841
2.8	753.606437
2.85	792.989624
2.9	825.189753
2.95	851.073652
3.0	874.356832
3.05	893.676886
3.1	911.758514
3.15	926.74396
3.2	938.385492
3.25	950.151007
3.3	957.581797
3.35	965.384068
3.4	971.576432
3.45	975.787174
3.5	979.502569
3.55	983.837293
3.6	986.438012
3.65	988.791115
3.7	991.887297
3.75	995.602692
3.8	997.460331
3.85	1000.92811
3.9	1004.39577
3.95	1006.99661
4.0	1010.21654
4.05	1012.94124
4.1	1015.04661
4.15	1017.27573
4.2	1016.90437
4.25	1016.90437
4.3	1017.02823
4.35	1017.27573
4.4	1015.41821
4.45	1012.44578
4.5	1010.58814
4.55	1006.74888
4.6	1002.66188
4.65	997.955794
4.7	994.240399
4.75	987.552688
4.8	981.484191
4.85	976.901851
4.9	970.833353
4.95	963.402563
5.0	956.590986
5.05	950.398622
5.1	945.320935
5.15	937.766279
5.2	930.707087
5.25	923.276297
5.3	916.46472
5.35	909.900875
5.4	901.479274
5.45	893.676886
5.5	885.750749
5.55	879.558385
5.6	870.269956
5.65	863.458379
5.7	856.646802
5.75	847.97747
5.8	840.54668
5.85	832.744408
5.9	824.570539
5.95	816.148939
6.0	809.461228
6.05	799.801201
6.1	792.122679
6.15	784.072676
6.2	776.394154
6.25	768.468017
6.3	761.037227
6.35	753.730303
6.4	746.918726
6.45	739.859417
6.5	734.162517
6.55	727.970153
6.6	724.007026
6.65	715.090078
6.7	707.535422
6.75	699.980883
6.8	692.549977
6.85	684.252358
6.9	677.193049
6.95	669.01918
7.0	661.959872
