V	uW
0.0	23.4068139
0.05	4.33443347
0.1	1.60984928
0.15	1.11444388
0.2	0.866770279
0.25	0.0370200723
0.3	0.135732989
0.35	0.0740401447
0.4	0.0740401447
0.45	0.0246800482
0.5	0.0740401447
0.55	0.00497948349
0.6	0.0099562385
0.65	0.0099562385
0.7	0.00871204975
0.75	0.00497948349
0.8	0.0112004273
0.85	0.0114188765
0.9	0.00893652441
0.95	0.0107983169
1.0	0.00955714086
1.05	0.0109224061
1.1	0.0119154038
1.15	0.0103085682
1.2	0.00930376132
1.25	0.00948983825
1.3	0.00843541414
1.35	0.00766630848
1.4	0.00762909025
1.45	0.00795844013
1.5	0.00961429603
1.55	0.0137022651
1.6	0.0299832443
1.65	0.0741073336
1.7	0.188456355
1.75	0.481722225
1.8	1.57716886
1.85	3.44899399
1.9	7.2059056
1.95	13.3304866
2.0	24.8865617
2.05	41.9537646
2.1	70.0498058
2.15	107.524058
2.2	159.743679
2.25	231.582671
2.3	307.48127
2.35	390.277506
2.4	478.367292
2.45	590.995769
2.5	670.87682
2.55	758.436392
2.6	841.166009
2.65	924.390857
2.7	990.648754
2.75	1048.98051
2.8	1099.38602
2.85	1147.19081
2.9	1182.9827
2.95	1211.8388
3.0	1233.3882
3.05	1252.46053
3.1	1267.56984
3.15	1276.85838
3.2	1283.91758
3.25	1288.12832
3.3	1292.09133
3.35	1294.69228
3.4	1295.31138
3.45	1295.06364
3.5	1294.32068
3.55	1292.95839
3.6	1290.97677
3.65	1289.98607
3.7	1289.98607
3.75	1289.61448
3.8	1289.73834
3.85	1288.87151
3.9	1289.86221
3.95	1289.73834
4.0	1289.86221
4.05	1289.61448
4.1	1289.36674
4.15	1287.88059
4.2	1287.38536
4.25	1284.66054
4.3	1281.81209
4.35	1279.8307
4.4	1276.85838
4.45	1273.88607
4.5	1269.17986
4.55	1264.22592
4.6	1257.2906
4.65	1252.21279
4.7	1245.27747
4.75	1239.58057
4.8	1234.87436
4.85	1230.53975
4.9	1223.85193
4.95	1216.79273
5.0	1211.4672
5.05	1204.65574
5.1	1197.72041
5.15	1190.90872
5.2	1185.70728
5.25	1173.57029
5.3	1162.05262
5.35	1151.40178
5.4	1139.14092
5.45	1127.62325
5.5	1117.71538
5.55	1106.32158
5.6	1093.68912
5.65	1084.40057
5.7	1073.87383
5.75	1064.08983
5.8	1053.31512
5.85	1042.41678
5.9	1031.27048
5.95	1020.24805
6.0	1007.36809
6.05	997.460331
6.1	985.571067
6.15	971.947913
6.2	960.182515
6.25	947.426306
6.3	936.775585
6.35	926.124747
6.4	916.46472
6.45	906.061614
6.5	895.782257
6.55	886.74156
6.6	878.69144
6.65	867.173774
6.7	859.619118
6.75	851.445249
6.8	843.023648
6.85	834.973645
6.9	826.056697
6.95	817.015884
7.0	809.213496
