V	uW
0.0	43.1687295
0.05	7.27810811
0.1	2.25849135
0.15	2.76041783
0.2	-3.01214754
0.25	0.625166592
0.3	0.425103849
0.35	1.40035081
0.4	2.25055851
0.45	3.02575745
0.5	4.4761241
0.55	6.87670718
0.6	9.5951109
0.65	13.0523749
0.7	17.3922344
0.75	23.3031242
0.8	29.7990482
0.85	37.4499177
0.9	46.4423319
0.95	57.7168939
1.0	69.7580617
1.05	83.2265068
1.1	98.4198123
1.15	117.929412
1.2	136.659073
1.25	157.364251
1.3	180.595031
1.35	205.851335
1.4	235.583735
1.45	264.866045
1.5	296.24888
1.55	329.557195
1.6	367.966772
1.65	404.375838
1.7	442.360266
1.75	481.420051
1.8	525.481009
1.85	566.366187
1.9	608.051603
1.95	650.78726
2.0	699.249329
2.05	744.135526
2.1	788.271544
2.15	831.28229
2.2	872.217526
2.25	912.477553
2.3	947.211171
2.35	978.869153
2.4	1007.8263
2.45	1037.25865
2.5	1061.23975
2.55	1083.14515
2.6	1102.7999
2.65	1144.73316
2.7	1144.48229
2.75	1158.53723
2.8	1169.07852
2.85	1183.13357
2.9	1194.9297
2.95	1204.46715
3.0	1214.00459
3.05	1225.54973
3.1	1234.83618
3.15	1242.61668
3.2	1249.3931
3.25	1253.91071
3.3	1260.18538
3.35	1265.70696
3.4	1270.97766
3.45	1275.49539
3.5	1278.00507
3.55	1285.78558
3.6	1286.53867
3.65	1290.05231
3.7	1292.56223
3.75	1296.82897
3.8	1298.3348
3.85	1299.58976
3.9	1303.35451
3.95	1306.86816
4.0	1306.86816
4.05	1308.6251
4.1	1310.63303
4.15	1310.38204
4.2	1314.39767
4.25	1314.64866
4.3	1316.4056
4.35	1317.40945
4.4	1319.41738
4.45	1320.67222
4.5	1316.90758
4.55	1318.9154
4.6	1316.4056
4.65	1319.66837
4.7	1319.41738
4.75	1318.16254
4.8	1317.91143
4.85	1318.66429
4.9	1316.65659
4.95	1316.15461
5.0	1317.15846
5.05	1314.64866
5.1	1315.15076
5.15	1311.13478
5.2	1311.13478
5.25	1308.87609
5.3	1307.87224
5.35	1305.36233
5.4	1303.60539
5.45	1303.60539
5.5	1300.59361
5.55	1299.58976
5.6	1296.32687
5.65	1293.81719
5.7	1292.56223
5.75	1289.29946
5.8	1288.29561
5.85	1284.02864
5.9	1279.76201
5.95	1278.00507
6.0	1274.99329
6.05	1270.97766
6.1	1269.22072
6.15	1264.9541
6.2	1262.94617
6.25	1259.18153
6.3	1256.92249
6.35	1256.92249
6.4	1251.40103
6.45	1246.38132
6.5	1243.87152
6.55	1242.61668
6.6	1236.593
6.65	1230.56944
6.7	1232.07539
6.75	1226.30259
6.8	1223.2908
6.85	1221.032
6.9	1217.26724
6.95	1213.5026
7.0	1208.73388
