V	MHz
-10.0	106.9890833
-9.99511599512	107.1576844
-9.99023199023	107.1572354
-9.98534798535	107.1560181
-9.98046398046	107.1555339
-9.97557997558	107.1543484
-9.9706959707	107.154017
-9.96581196581	107.152934
-9.96092796093	107.1518199
-9.95604395604	107.1513322
-9.95115995116	107.1502889
-9.94627594628	107.1496932
-9.94139194139	107.1491981
-9.93650793651	107.1479744
-9.93162393162	107.1474224
-9.92673992674	107.1464496
-9.92185592186	107.1455193
-9.91697191697	107.1449334
-9.91208791209	107.1438455
-9.9072039072	107.1434825
-9.90231990232	107.1422662
-9.89743589744	107.1412915
-9.89255189255	107.140804
-9.88766788767	107.1395514
-9.88278388278	107.1385398
-9.8778998779	107.1381617
-9.87301587302	107.1373055
-9.86813186813	107.1370378
-9.86324786325	107.1360398
-9.85836385836	107.1352469
-9.85347985348	107.1348932
-9.8485958486	107.133805
-9.84371184371	107.1334856
-9.83882783883	107.1326486
-9.83394383394	107.1316506
-9.82905982906	107.1313304
-9.82417582418	107.130467
-9.81929181929	107.1295586
-9.81440781441	107.1290447
-9.80952380952	107.1278338
-9.80463980464	107.1272287
-9.79975579976	107.1262426
-9.79487179487	107.1253094
-9.78998778999	107.1247933
-9.7851037851	107.1235555
-9.78021978022	107.1231669
-9.77533577534	107.1221834
-9.77045177045	107.1213593
-9.76556776557	107.1208996
-9.76068376068	107.119989
-9.7557997558	107.1194849
-9.75091575092	107.11792
-9.74603174603	107.1169666
-9.74114774115	107.1166591
-9.73626373626	107.1156585
-9.73137973138	107.1147081
-9.7264957265	107.1143088
-9.72161172161	107.1131132
-9.71672771673	107.1127846
-9.71184371184	107.1118086
-9.70695970696	107.1107124
-9.70207570208	107.1101932
-9.69719169719	107.1092466
-9.69230769231	107.1088164
-9.68742368742	107.1075196
-9.68253968254	107.106414
-9.67765567766	107.1059399
-9.67277167277	107.104982
-9.66788766789	107.1046141
-9.663003663	107.1036141
-9.65811965812	107.1020636
-9.65323565324	107.1019024
-9.64835164835	107.1008997
-9.64346764347	107.0997101
-9.63858363858	107.0991202
-9.6336996337	107.0982208
-9.62881562882	107.0980529
-9.62393162393	107.0967958
-9.61904761905	107.0956381
-9.61416361416	107.0950124
-9.60927960928	107.0939995
-9.6043956044	107.093587
-9.59951159951	107.0928701
-9.59462759463	107.0918111
-9.58974358974	107.0913864
-9.58485958486	107.0902951
-9.57997557998	107.089829
-9.57509157509	107.0887149
-9.57020757021	107.0876837
-9.56532356532	107.0873568
-9.56043956044	107.0864068
-9.55555555556	107.0853475
-9.55067155067	107.0847843
-9.54578754579	107.0836181
-9.5409035409	107.0832069
-9.53601953602	107.0818851
-9.53113553114	107.0806479
-9.52625152625	107.0804884
-9.52136752137	107.0798647
-9.51648351648	107.0794125
-9.5115995116	107.0783619
-9.50671550672	107.0773457
-9.50183150183	107.0770565
-9.49694749695	107.0760455
-9.49206349206	107.0752883
-9.48717948718	107.0748394
-9.4822954823	107.0737446
-9.47741147741	107.0732949
-9.47252747253	107.0723776
-9.46764346764	107.0716678
-9.46275946276	107.0712462
-9.45787545788	107.0703326
-9.45299145299	107.0698775
-9.44810744811	107.0689414
-9.44322344322	107.0679154
-9.43833943834	107.0675594
-9.43345543346	107.0663053
-9.42857142857	107.0654699
-9.42368742369	107.0650695
-9.4188034188	107.0639986
-9.41391941392	107.0636292
-9.40903540904	107.0624877
-9.40415140415	107.0614565
-9.39926739927	107.0610597
-9.39438339438	107.0600949
-9.3894993895	107.0597092
-9.38461538462	107.0584062
-9.37973137973	107.0575504
-9.37484737485	107.0570642
-9.36996336996	107.0557356
-9.36507936508	107.0550695
-9.3601953602	107.0545604
-9.35531135531	107.0533373
-9.35042735043	107.0529742
-9.34554334554	107.0519466
-9.34065934066	107.0511237
-9.33577533578	107.0506193
-9.33089133089	107.0496362
-9.32600732601	107.0493045
-9.32112332112	107.048292
-9.31623931624	107.0472873
-9.31135531136	107.046987
-9.30647130647	107.0461589
-9.30158730159	107.0457153
-9.2967032967	107.044449
-9.29181929182	107.0433902
-9.28693528694	107.0430389
-9.28205128205	107.0418784
-9.27716727717	107.0407748
-9.27228327228	107.0404257
-9.2673992674	107.0394812
-9.26251526252	107.0390861
-9.25763125763	107.0379188
-9.25274725275	107.0368484
-9.24786324786	107.0363811
-9.24297924298	107.0353118
-9.2380952381	107.034869
-9.23321123321	107.0336656
-9.22832722833	107.0327602
-9.22344322344	107.032517
-9.21855921856	107.0313536
-9.21367521368	107.030242
-9.20879120879	107.0296636
-9.20390720391	107.0286464
-9.19902319902	107.0282064
-9.19413919414	107.0270001
-9.18925518926	107.0259492
