V	%
0.008	0.0
0.012	0.012702252779
0.016	0.0118982757509
0.02	0.0226709822758
0.024	0.0432517453705
0.028	0.0866641814292
0.032	0.146798150542
0.036	0.233622766478
0.04	0.359357623045
0.044	0.525450083576
0.048	0.739456937898
0.052	1.02533508909
0.056	1.39900288154
0.06	1.76366633793
0.064	2.25422586292
0.068	2.83402182664
0.072	3.48986937625
0.076	4.27161286571
0.08	5.12619297711
0.084	6.18095146069
0.088	7.31336970871
0.092	8.594355819
0.096	10.0639442049
0.1	11.648010735
0.104	13.2026560893
0.108	15.0166453322
0.112	17.0423955475
0.116	19.1729747829
0.12	21.5545447765
0.124	23.8168103473
0.128	26.2728205724
0.132	28.9193642053
0.136	31.5988745839
0.14	34.4180983581
0.144	37.7485693923
0.148	40.8823868921
0.152	44.217047284
0.156	47.2562500053
0.16	50.6871834218
0.164	54.2392873246
0.168	57.8461684824
0.172	61.6389524706
0.176	65.4981201163
0.18	69.2992082104
0.184	72.7749588408
0.188	76.3934605967
0.192	80.4534783975
0.196	83.7150881438
0.2	87.1925138569
0.204	90.108880913
0.208	92.0907696426
0.212	96.110947609
0.216	100.0
