V	%
0.004	0.0
0.008	0.000218738932249
0.012	0.00149243462394
0.016	0.00499201144967
0.02	0.012249608129
0.024	0.0255466734742
0.028	0.0480815682773
0.032	0.081642223828
0.036	0.129601801821
0.04	0.198118869969
0.044	0.287517534735
0.048	0.403595617597
0.052	0.558303521853
0.056	0.742644470236
0.06	0.977343993325
0.064	1.23069686387
0.068	1.54973408496
0.072	1.92873779932
0.076	2.358586765
0.08	2.88039325605
0.084	3.43755196746
0.088	4.0963564096
0.092	4.84131445337
0.096	5.6442305936
0.1	6.5745012428
0.104	7.52131180339
0.108	8.62161980774
0.112	9.84120381448
0.116	11.0903082817
0.12	12.5284842608
0.124	13.9771639912
0.128	15.4612973833
0.132	17.0307728981
0.136	18.8365904909
0.14	20.6796103906
0.144	22.5668360231
0.148	24.5936731743
0.152	26.6953565015
0.156	28.8491198846
0.16	31.1884545407
0.164	33.6674053983
0.168	36.257961529
0.172	38.7732424087
0.176	41.4692741456
0.18	44.0948447172
0.184	46.6674534961
0.188	49.5227995994
0.192	52.4678633839
0.196	55.3170830288
0.2	58.1496676946
0.204	60.6890255064
0.208	63.2625113394
0.212	65.9939928358
0.216	68.3162604028
0.22	70.3894863833
0.224	72.884204618
0.228	75.0690454104
0.232	77.0341647957
0.236	79.5271226784
0.24	80.9197702327
0.244	82.9536250313
0.248	84.752003793
0.252	85.5328020042
0.256	87.0593935244
0.26	88.1863743121
0.264	89.4009243713
0.268	89.9541266787
0.272	90.9826413563
0.276	91.4575114705
0.28	92.6654745182
0.284	92.4195117266
0.288	93.2077426986
0.292	93.8279207612
0.296	93.884377763
0.3	94.4419653413
0.304	94.9225145417
0.308	94.9610402344
0.312	94.9369633024
0.316	95.6468681515
0.32	95.2284489689
0.324	96.042074969
0.328	96.0096888289
0.332	96.0013726835
0.336	100.0
