V	uW
0.0	0.286564699
0.05	0.109743532
0.1	0.092914604
0.15	0.0993142919
0.2	0.0976551888
0.25	0.100262369
0.3	0.119461589
0.35	0.136290353
0.4	0.162837168
0.45	0.214982876
0.5	0.266891533
0.55	0.348191406
0.6	0.450349432
0.65	0.569810368
0.7	0.706337289
0.75	0.896431743
0.8	1.09671839
0.85	1.31004151
0.9	1.55915552
0.95	1.85211957
1.0	2.13418002
1.05	2.4501353
1.1	2.77106801
1.15	3.10314135
1.2	3.48404137
1.25	3.82701819
1.3	4.17212777
1.35	4.52766562
1.4	4.89884815
1.45	5.22618075
1.5	5.5549358
1.55	5.84529198
1.6	6.1437072
1.65	6.39329573
1.7	6.60590786
1.75	6.79363166
1.8	6.97163841
1.85	7.09252117
1.9	7.19799755
1.95	7.29968178
2.0	7.38121889
2.05	7.46251862
2.1	7.53978838
2.15	7.59928207
2.2	7.66636003
2.25	7.7436307
2.3	7.80099072
2.35	7.85977409
2.4	7.92827359
2.45	7.98942619
2.5	8.04394222
2.55	8.09490302
2.6	8.12998314
2.65	8.17454384
2.7	8.21341564
2.75	8.23308892
2.8	8.26698397
2.85	8.31533634
2.9	8.36060917
2.95	8.39805944
3.0	8.42436839
3.05	8.44878195
3.1	8.49903245
3.15	8.55070357
3.2	8.59099782
3.25	8.6125674
3.3	8.61541139
3.35	8.60924865
3.4	8.62702564
3.45	8.64290632
3.5	8.63745481
3.55	8.6208629
3.6	8.59194552
3.65	8.51680852
3.7	8.4409603
3.75	8.35729043
3.8	8.2657989
3.85	8.17904674
3.9	8.08068125
3.95	7.97141183
4.0	7.87565477
4.05	7.77965943
4.1	7.67513029
4.15	7.57415728
4.2	7.4826653
4.25	7.38429981
4.3	7.30821466
4.35	7.22549294
4.4	7.14182261
4.45	7.06715946
4.5	6.98301528
4.55	6.88986393
4.6	6.83677081
4.65	6.80240146
4.7	6.75167848
4.75	6.70569534
4.8	6.65686821
4.85	6.60116712
4.9	6.56158363
4.95	6.5336144
5.0	6.50825268
5.05	6.49569029
5.1	6.4798096
5.15	6.45705495
5.2	6.44401871
5.25	6.44141119
5.3	6.42434543
5.35	6.41841962
5.4	6.41984252
5.45	6.4079909
5.5	6.40277585
5.55	6.38381425
5.6	6.33688296
5.65	6.30369959
5.7	6.28852968
5.75	6.27501913
5.8	6.2804711
5.85	6.29255965
5.9	6.2916115
5.95	6.30417344
6.0	6.31389139
6.05	6.31009925
6.1	6.31009925
6.15	6.30962541
6.2	6.29303349
6.25	6.28213002
6.3	6.27691588
6.35	6.25392431
6.4	6.22998459
6.45	6.20770425
6.5	6.19537923
6.55	6.1956157
6.6	6.18660897
6.65	6.17049091
6.7	6.16385432
6.75	6.14749933
6.8	6.1529513
6.85	6.15579529
6.9	6.14963301
6.95	6.13849261
7.0	6.14299643
